,0.7_4,0.7_24,0.7_72,3.7_4,3.7_24,3.7_72
Rv0395,,,,,,
Rv0396,,,,,,
Rv0397,,,,,,1.968809503
Rv0397A,,-1.258603552,-1.473300095,,,-1.291798547
Rv0398c,,-1.456900051,-1.493026937,,-2.436312853,-1.282312573
Rv0399c,,-1.060488902,,-1.475964994,-2.184322984,
Rv0400c,,-1.264004325,-1.209795938,,-1.020151152,-1.131660481
Rv0401,,-1.275175735,-1.754566071,,,-1.485494358
Rv0402c,-1.372939938,-1.819107539,-1.767100343,-2.36500586,-3.178856878,-1.73110773
Rv0403c,,-1.473111558,-1.544329576,,-1.736986139,-2.041349094
Rv0404,-1.037795843,-1.746658613,-1.575041052,,-1.753928171,-2.837810066
Rv0405,-1.31236258,-1.90316682,-1.727296223,-1.805573872,-3.552166472,-2.298065955
Rv0406c,,-1.333273999,-1.442509904,,,
Rv0407,-1.207226968,-2.051209522,-2.014241072,-2.15228271,-3.631574587,-2.131337005
Rv0408,-2.13526541,-2.383138066,-2.199900264,-3.327045396,-5.393899931,-2.805360202
Rv0409,-2.278316817,-2.824839024,-2.653207361,-2.643927648,-4.369101957,-3.054253784
Rv0410c,-1.194769109,-1.855043134,-1.397069672,-2.384263501,-3.892605759,-2.002705716
Rv0411c,,-1.497405819,-1.290135927,-2.295446413,-4.027201313,-1.641071964
Rv0412c,,-1.680997755,-1.250624073,,-1.910796729,-1.099816022
Rv0413,,-1.191015428,,,,
Rv0414c,,-1.683413079,-1.805754192,,-1.376309926,-1.983482869
Rv0415,,,,,,
Rv0416,,-1.024892999,,,,
Rv0417,,,,,,
Rv0418,-1.753599766,-2.256753329,-1.420109967,-2.816672283,-3.943391732,-2.064681374
Rv0419,,-1.026266513,,,,
Rv0420c,,,,,,
Rv0421c,-1.605398227,-1.833920205,-1.464209631,-2.719119696,-3.452614642,-2.002042654
Rv0422c,-1.150170759,-1.40186946,,-2.175375351,-2.533146331,-1.772554892
Rv0423c,,-1.828657318,-1.558636956,,-2.043931552,-1.79511528
Rv0424c,-1.698386778,-2.3965596,-2.53627054,-1.777483823,-2.792809823,-2.968962074
Rv0425c,-1.765715987,-2.237601347,-1.937116369,-1.11222467,-2.098651919,-1.433205323
Rv0426c,,,,,,
Rv0427c,,-1.793155959,-1.315339407,-1.443488185,-2.442219632,-1.735040612
Rv0428c,,,,-1.096099057,-2.182247113,-1.090743147
Rv0429c,,-1.336049314,,-1.145781827,-1.649758095,-1.3634692
Rv0430,,,,,-1.722463058,-2.954904409
Rv0431,,,,-1.176276647,-2.213546584,-2.37587793
Rv0432,,,,,-1.854534368,-1.987021111
Rv0433,,-1.158514809,,-1.412623967,-2.270397528,-1.597405218
Rv0434,-1.04107327,-1.866845455,-1.771322276,-1.682083141,-2.747697039,-1.805110525
Rv0435c,,-1.243749942,-1.279050879,-2.759909021,-3.310274408,-1.557356058
Rv0436c,,,,-1.416797796,-2.032907624,
Rv0437c,,,,,,
Rv0438c,,-1.231674887,,,-1.046966539,
Rv0439c,,-1.369857204,,,,
